city,lat,lng,population,capital
Tokyo,35.6839,139.7744,39105000,primary
Jakarta,-6.2146,106.8451,35362000,primary
Delhi,28.6667,77.2167,31870000,admin
Manila,14.6,120.9833,23971000,primary
Sao Paulo,-23.5504,-46.6339,22495000,admin
Seoul,37.56,126.99,22394000,primary
Mumbai,19.0758,72.8775,22186000,admin
Shanghai,31.1667,121.4667,22118000,admin
Mexico City,19.4333,-99.1333,21505000,primary
Guangzhou,23.1288,113.259,21489000,admin
Cairo,30.0444,31.2358,19787000,primary
Beijing,39.904,116.4075,19437000,primary
Kolkata,22.5727,88.3639,18698000,admin
Moscow,55.7558,37.6178,17693000,primary
Bangkok,13.75,100.5167,17573000,primary
Dhaka,23.7289,90.3944,16839000,primary
Buenos Aires,-34.5997,-58.3819,16216000,primary
Osaka,34.752,135.4582,15490000,admin
Lagos,6.45,3.4,15487000,minor
Istanbul,41.01,28.9603,15311000,admin
Karachi,24.86,67.01,15292000,admin
Kinshasa,-4.3317,15.3139,15056000,primary
Shenzhen,22.535,114.054,14678000,minor
Bangalore,12.9791,77.5913,13999000,admin
Ho Chi Minh City,10.8167,106.6333,13954000,admin
Tehran,35.7,51.4167,13819000,primary
Rio de Janeiro,-22.9083,-43.1964,12486000,admin
Chengdu,30.66,104.0633,11920000,admin
Chennai,13.0825,80.275,11564000,admin
Lahore,31.5497,74.3436,11148000,admin
London,51.5072,-0.1275,11120000,primary
Paris,48.8566,2.3522,11027000,primary
Tianjin,39.1467,117.2056,10932000,admin
Shijiazhuang,38.0422,114.5086,10784600,admin
Zhengzhou,34.7492,113.6605,10136000,admin
Hyderabad,17.3617,78.4747,9840000,admin
Wuhan,30.5872,114.2881,9729000,admin
Handan,36.6116,114.4894,9549700,minor
Nagoya,35.1167,136.9333,9522000,admin
Lima,-12.06,-77.0375,8992000,primary
Zhoukou,33.625,114.6418,8953172,minor
Luanda,-8.8383,13.2344,8883000,primary
Ganzhou,25.8292,114.9336,8677600,minor
Tongshan,34.261,117.1859,8669000,minor
Kuala Lumpur,3.1478,101.6953,8639000,primary
Heze,35.2333,115.4333,8287693,minor
Chongqing,29.55,106.5069,8261000,admin
Hanoi,21.0245,105.8412,8246600,primary
Changsha,28.1987,112.9709,8154700,admin
Dongguan,23.0475,113.7493,8142000,minor
Jinan,36.6667,116.9833,7967400,admin
Foshan,23.0292,113.1056,7905700,minor
Bogota,4.6126,-74.0705,7743955,primary
Ahmedabad,23.03,72.58,7717000,minor
Nanjing,32.05,118.7667,7729000,admin
Changchun,43.9,125.2,7674439,admin
Dar es Salaam,-6.8,39.2833,7461000,primary
Hefei,31.8639,117.2808,7457027,admin
Hong Kong,22.3069,114.1831,7398000,primary
Zhanjiang,21.1967,110.4031,7332000,minor
Nantong,31.9829,120.8873,7283622,minor
Yancheng,33.3936,120.1339,7260240,minor
Nanning,22.8192,108.315,7254100,admin
Shenyang,41.8039,123.4258,7208000,admin
Xi'an,34.2667,108.9,7090000,admin
Santiago,-33.45,-70.6667,7026000,primary
Riyadh,24.65,46.71,6889000,primary
Kunming,25.0433,102.7061,6850000,admin
Shangrao,28.4419,117.9633,6810700,minor
Hangzhou,30.25,120.1675,6713000,admin
Quanzhou,24.9139,118.5858,6480000,minor
Wuxi,31.5667,120.2833,6372624,minor
Huanggang,30.45,114.875,6333000,minor
Maoming,21.6618,110.9178,6313200,minor
Nanchong,30.7991,106.0784,6278614,minor
Baghdad,33.35,44.4167,6107000,primary
Jieyang,23.5533,116.3649,6089400,minor
Khartoum,15.6031,32.5265,6017000,primary
Madrid,40.4167,-3.7167,6006000,primary
Yulin,22.6293,110.1507,5849700,minor
Changde,29.0397,111.6839,5827200,minor
